"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","의원","01_01_02_P","3620000","PHMA119993620020041100004","1999-06-12","","01","영업/정상","13","영업중","","","","","062-515-2875","","500-881","광주광역시 북구 풍향동 565번지 4호 3층","광주광역시 북구 동문대로 24, 3층 (풍향동)","61205","효치과의원","2021-11-15 11:36:42","U","2021-11-17 02:40:00","치과의원","192630.735111865","185314.6176323","치과의원","1","0","0","52.29","401","치과","","","","0","0","","","0","",
"2","의원","01_01_02_P","3620000","PHMA119993620020041100005","1999-07-07","","01","영업/정상","13","영업중","","","","","062-574-2802","","500-867","광주광역시 북구 일곡동 821번지 1호 2층","광주광역시 북구 설죽로 518, 2층 (일곡동)","61041","일곡부부치과의원","2017-09-05 18:32:13","I","2018-08-31 23:59:59","치과의원","190646.777107249","189589.427851023","치과의원","2","0","0","200","401","치과","","","","0","0","","","0","",
"3","의원","01_01_02_P","3620000","PHMA119993620020041100006","1999-07-13","","01","영업/정상","13","영업중","","","","","062-575-2875","","","광주광역시 북구 일곡동 841번지 6호","광주광역시 북구 설죽로 495, 3층 (일곡동)","61040","사랑이가득한치과의원","2019-07-30 13:48:59","U","2019-08-01 02:40:00","치과의원","190645.299575466","189353.478160498","치과의원","1","0","0","128","401","치과","","","","0","0","","","0","",
"4","의원","01_01_02_P","3620000","PHMA119993620020041100007","1999-10-29","","01","영업/정상","13","영업중","","","","","062-573-9933","","","광주광역시 북구 용두동 305-13","광주광역시 북구 임방울대로 1063, 4층 (용두동)","61019","으뜸한의원","2023-06-23 01:13:25","U","2023-06-25 02:40:00","한의원","188411.596132205","190307.223168522","한의원","1","0","0","120","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"5","의원","01_01_02_P","3620000","PHMA119993620020041100008","1999-12-21","","01","영업/정상","13","영업중","","","","","062-573-8275","","500-866","광주광역시 북구 일곡동 850번지 3호 한국아파트상가2층","광주광역시 북구 설죽로 565, 2층 (일곡동, 한국아파트상가)","61036","예일치과의원","2024-09-27 19:28:55","U","2024-09-29 02:40:00","치과의원","190524.805310233","190074.515459602","치과의원","1","0","0","125","412 411 410 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"6","의원","01_01_02_P","3620000","PHMA120003620020041100002","2000-03-16","","01","영업/정상","13","영업중","","","","","062-269-8275","","","광주광역시 북구 두암동 570-13","광주광역시 북구 면앙로165번길 1, 1층 (두암동)","61168","한우리치과의원","2022-11-10 17:33:17","U","2022-11-12 02:40:00","치과의원","193517.912369764","186336.215798289","치과의원","1","0","0","113.16","401","치과","","","","0","0","","","0","",
"7","의원","01_01_02_P","3620000","PHMA120003620020041100003","2000-03-20","","01","영업/정상","13","영업중","","","","","062-250-8088","","","광주광역시 북구 두암동 567번지 2호","광주광역시 북구 동문대로 179, 2층 (두암동)","61171","청담치과의원","2021-11-12 13:20:33","U","2021-11-14 02:40:00","치과의원","193439.270910397","186573.636830886","치과의원","1","0","0","174.56","401","치과","","","","0","0","","","0","",
"8","의원","01_01_02_P","3620000","PHMA120003620020041100005","2000-05-03","","01","영업/정상","13","영업중","","","","","062-524-7528","","","","광주광역시 북구 북문대로 39-1, 4층 (운암동)","61261","램브란트치과교정과치과의원","2024-08-13 10:28:04","U","2024-08-15 02:40:00","치과의원","189095.226605845","186221.286336032","치과의원","1","0","0","266.81","402 403 404 405 406 407 408 409 411","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과","","","","0","0","","","0","",
"9","의원","01_01_02_P","3620000","PHMA120003620020041100006","2000-05-13","","01","영업/정상","13","영업중","","","","","062-529-1950","","510-211","광주광역시 북구 우산동 554-1번지 3층","광주광역시 북구 동문대로 19-1, 3층 (우산동)","61215","정민치과의원","2024-06-07 01:43:20","U","2024-06-09 02:40:00","치과의원","192579.561727765","185283.87159868","치과의원","1","0","0","83.14","401","치과","","","","0","0","","","0","",
"10","의원","01_01_02_P","3620000","PHMA120003620020041100007","2000-05-19","","01","영업/정상","13","영업중","","","","","062-513-2852","","500-180","광주광역시 북구 동림동 1150번지 2호 (2층)","광주광역시 북구 북문대로242번길 5, 2층 (동림동)","61096","한승헌치과의원","2017-09-05 18:32:14","I","2018-08-31 23:59:59","치과의원","187709.929067266","187623.927443174","치과의원","1","0","0","97","401","치과","","","","0","0","","","0","",
